time,chain,symbol,address,pair,verdict,reasons,price,liq_usd,vol24_usd,age_h,fdv,buys_h1,sells_h1,h1,h6,h24,sources
2026-09-26 01:50,base,CBXRP,0xcb585250f852c6c6bf90434ab21a00f02833a4af,0xb90fe999be6869af0afc557dccfbe169ea3403d6,REJECT,no dexscreener pair,1.57758427826677,635733,4918023,3909.0,207550299.051035,120,86,0.00906,0.00506,0.02384,ds
2026-09-26 02:00,solana,FONE,CTPoyCwkjMvoJwU4xvZZqoD8tiYk6yDchySiN5gGpump,3dcwhqJp6JBTJPq8ga335HWgSQVS7uQmdmeX7iGjMNpj,REJECT,lp holders unknown,0.004784,528118,795348,722.0,4737700.0,218,573,0.12390000000000001,0.1791,0.2089,ds+goplus
2026-09-26 02:15,solana,GOAT,CzLSujWBLFsSjncfkh59rUFqvafWcY5tzedWJSuypump,9Tb2ohu5P16BpBarqd3N27WnkF51Ukfs8Z1GzzLDxVZW,REJECT,top-10 holders 50%; lp locked 0% < 95%,0.01954,1837124,319506,17164.9,19549568.0,946,870,0.0064,0.0087,0.0245,ds+goplus
2026-09-26 02:15,ethereum,AURORA,0xaaaaaa20d9e0e2461697782ef11675f668207961,0x629d22e6eeac46a11dbc96be93b90aee9309be4c,REJECT,no dexscreener pair,0.0736271322294426,500391,669560,40548.5,73321788.3350852,28,29,-0.0665,-0.084,-0.11581,ds
2026-09-26 02:20,base,CBETH,0x2ae3f1ec7f1f5012cfeab0185bfc7aa3cf0dec22,0x47ca96ea59c13f72745928887f84c9f52c3d7348,REJECT,no dexscreener pair,3072.1641503757,2095018,1968657,20949.2,234602349.115841,70,76,0.0015,0.0011,-0.00053,ds
2026-09-26 02:20,base,VELVET,0xbf927b841994731c573bdf09ceb0c6b0aa887cdd,0x6b0f53cbd9272d8117e9535fe25371dedf39a1be,REJECT,no dexscreener pair,0.0609958666502646,1055975,319770,9554.6,860038.419207895,203,183,0.020790000000000003,0.02392,-0.0054600000000000004,ds
2026-09-26 02:31,ethereum,LDO,0x5a98fcbea516cf06857215779fd812ca3bef1b32,0xa3f558aebaecaf0e11ca4b2199cc5ed341edfd74,REJECT,no dexscreener pair,0.490143933420206,610020,327346,39155.1,490143930.826931,23,14,0.00464,-0.01573,0.12621000000000002,ds
2026-09-26 02:49,base,QUID,0x1a44233fae8d50f1aeb3a5d58dd426ff4814cb53,0x07c4bc0f5fb6cb069124df3e1ae0b8fd8148ccc4,REJECT,no dexscreener pair,0.0715405959222792,887156,411714,1283.2,71540595.9188944,146,208,-0.0066500000000000005,0.030539999999999998,0.03645,ds
2026-09-26 02:54,ethereum,ICP,0x00f3c42833c3170159af4e92dbb451fb3f708917,0x4068038ab5490063a3ead93b3712ed082e62bd59,REJECT,no dexscreener pair,3.15460714018696,583465,525910,10767.8,2096864.25780365,42,35,-0.00776,-0.005659999999999999,0.03329,ds
2026-09-26 03:11,base,WSTETH,0xc1cba3fcea344f92d9239c08c0568f6f2f0ee452,0x861a2922be165a5bd41b1e482b49216b465e1b5f,REJECT,no dexscreener pair,3349.08944002158,3531820,5112637,20949.7,209755338.22938,108,4,-0.00075,0.0042,0.00575,ds
